inst_coed,inst,major_code,major,min_scroe
0561,华南理工大学,21,材料类(创新班)(高分子材料与工程、材料科学与工程、功能材料),644
0699,西北工业大学,10,航空航天类(飞行器设计与工程、飞行器动力工程、飞行器控制与信息工程、航空航天工程),644
9614,电子科技大学(沙河校区),S4,集成电路设计与集成系统(国家示范性微电子学院),644
0013,北京邮电大学,04,电子信息类(电子信息科学与技术、电子科学与技术、光电信息科学与工程),643
0013,北京邮电大学,06,软件工程,643
0034,中央财经大学,32,计算机类(计算机科学与技术、信息安全、数据科学与大数据技术),643
0056,天津大学,04,数学类(金融数学、数学与应用数学、数据科学与大数据技术),643
0056,天津大学,11,工科试验班(电气信息类)(电气工程及其自动化、电子信息工程、通信工程、物联网工程、自动化、智能电网信息工程),643
0269,华东师范大学,80,电子信息科学与技术,643
0269,华东师范大学,83,计算机科学与技术,643
0286,东南大学,0C,工科试验班(土木交通材料实验班)(智能建造、智慧交通、土木工程、交通工程、给排水科学与工程、工程管理、交通运输、港口航道与海岸工程、城市地下空间工程、道路桥梁与渡河工程、材料科学与工程),643
0561,华南理工大学,17,信息工程,643
0561,华南理工大学,31,应用物理学(严济慈英才班),643
0561,华南理工大学,46,软件工程,643
0610,四川大学,36,数学类(数学与应用数学、信息与计算科学、统计学),643
0610,四川大学,50,计算机类(计算机科学与技术、物联网工程、人工智能),643
0610,四川大学,62,软件工程,643
0651,西南财经大学,0Y,金融学(经管国际化创新实验班),643
0013,北京邮电大学,08,人工智能(大类招生),642
0013,北京邮电大学,0J,智能交互设计,642
0036,对外经济贸易大学,25,精算学,642
0056,天津大学,03,建筑类(建筑学、城乡规划、风景园林),642
0141,大连理工大学,95,计算机科学与技术(国家基础学科拔尖学生培养计划基地班),642
0384,厦门大学,13,工商管理类(人力资源管理、工商管理、市场营销、旅游管理、酒店管理),642
0384,厦门大学,17,化学类(含化学化工材料类)(化学、能源化学、化学生物学、化学测量学与技术、化学工程与工艺、生物工程、材料科学与工程),642
